month,Record high (째C),Average high (째C),Average low (째C),Record low (째C),Average rainfall (mm),Average rainy days,Average relative humidity (%),Mean monthly sunshine hours
Jan,30,20.5,7.6,-0.6,19.3,1.3,63,214.6
Feb,34.1,23.9,10.4,1.6,22.1,1.8,55,216.1
Mar,40.6,29.6,15.6,4.4,15.9,1.6,47,239.1
Apr,45.6,36.3,21.3,10.7,13,1.2,34,261
May,47.2,39.5,25.8,15.2,31.5,2.5,33,263.1
Jun,46.7,39.2,27.9,18.9,82.2,4.6,46,196.5
Jul,45,35.4,27.4,20.3,187.3,9.4,70,165.9
Aug,42,34.1,26.6,20.7,232.5,9.8,73,177
Sep,40.6,34.1,25,17.3,129.8,5.5,62,219
Oct,39.4,32.8,19.1,9.4,14.3,1,52,269.3
Nov,36.1,28.2,12.9,3.9,4.9,0.5,55,247.2
Dec,29.3,23.1,8.3,1.1,9.4,0.9,62,215.8
