month,Record high (째C),Average high (째C),Average low (째C),Record low (째C),Average precipitation (mm),Average rainy days,Average snowy days,Average relative humidity (%),Mean monthly sunshine hours
Jan,16.4,6.1,-1.5,-11.4,63.1,12.3,8.9,67,137.2
Feb,19,8.1,-0.2,-11,66.5,10.9,6.6,59,151.1
Mar,23.8,12.9,4,-8,83.3,12.3,2.5,53,186
Apr,33.6,19.8,9.8,-1.6,50.1,10,0.1,44,219.1
May,33.6,25,14,3,27.1,8.9,0.1,39,279.8
Jun,37.8,31.2,19.6,12,4,3.3,0,30,328.7
Jul,39.8,33.9,22.6,15.4,4.2,3.4,0,31,336.6
Aug,39.4,33.5,21.9,13.5,3.2,1.6,0,31,336.8
Sep,35.6,29.3,17.5,8.8,3.4,1.3,0,33,300.5
Oct,31.2,22.4,11.6,2.6,16.5,5.8,0,44,246.8
Nov,23,14.3,5.4,-5.2,41.3,8.6,0.6,57,169.4
Dec,19,8.6,1,-9.6,66.3,10.7,4.9,66,134.1
